date,username,to,replies,retweets,text,mentions,hashtags,permalink
2020-01-22 23:59:08,squirrelk10,,0,0,I'm doing really well here boycotting this debate 🤣 buutt.... curiosity is going to kill this cat! Was it a pile of shite and was it just two knobs singing from the same hymn sheet and I missed nothing? #SinnFéin #GE2020 #VMTVBigDebate #ImOfficiallyOld 😭,,#SinnF #GE2020 #VMTVBigDebate #ImOfficiallyOld,https://twitter.com/squirrelk10/status/1220133830738223106
2020-01-22 23:56:54,sirjamesofcots,,1,0,Leo happy with coalition with FF. Sinn Fein is finally the official opposition. Shame we couldn't have admitted that at the start of the Dail so we had a functional parliament. #Leadersdebate,,#Leadersdebate,https://twitter.com/sirjamesofcots/status/1220133268634382336
2020-01-22 23:53:04,HYUFD1,kevinoh31934147,1,0,You are clearly suggesting that as that is what Sinn Fein and De Valera wanted but Collins sensibly ignored them,,,https://twitter.com/HYUFD1/status/1220132303315312642
2020-01-22 23:50:09,Adam_Higgins27,,0,2,"""What RTE and Virgin Media have spectacularly missed is that politics has changed"" - Sinn Fein's Mary Lou McDonald on being left out of tonight's #VMTVBigDebate and RTE's Head to Head debate between Leo Varadkar and Micheal Martin",,#VMTVBigDebate,https://twitter.com/Adam_Higgins27/status/1220131568221597698
2020-01-22 23:49:49,jimb06,CaoimhinMac91,1,0,I don’t think Sinn Fein would pay for them,,,https://twitter.com/jimb06/status/1220131484637585410
2020-01-22 23:49:42,MaxHomo,,0,17,The year is 2030. Sinn Fein have been in government for 5 years. RTE has agreed that Mary Lou McDonald will for the first time be allowed to participate in the leader's election debate as long as her voice is overdubbed by Graham Norton and her outfit is styled by Pat Kenny,,,https://twitter.com/MaxHomo/status/1220131454824460289
2020-01-22 23:48:25,HYUFD1,gentlytraceable,1,0,"No it is not and 38% for Nationalist parties is significantly less still than 43% for Unionist parties, Sinn Fein, economically incompetent fanatics",,,https://twitter.com/HYUFD1/status/1220131131623989249
2020-01-22 23:48:14,JordanCurtis91,,0,0,Imagine wanting to vote for anyone other than Sinn Fèin? 🤢,,,https://twitter.com/JordanCurtis91/status/1220131084140208129
2020-01-22 23:47:50,caulmick,,2,40,How many people have died unnecessarily because of the violence of poverty? Get out on Feb 8th - Vote #socdems #SinnFein #PBP #Solidarity and Left Independents. A good sizeable block can really shake up the system and give our children hope for the future. #TonightVMTV,,#socdems #SinnFein #PBP #Solidarity #TonightVMTV,https://twitter.com/caulmick/status/1220130986446467072
2020-01-22 23:47:24,DionneCarroll11,UbuntuLad,0,0,"Fianna Fáil are the reason we lost so many of our family and friends to immigration, Fine Gael are the reason they never came back home. PLEASE vote Sinn Féin #notmytaoiseach",,#notmytaoiseach,https://twitter.com/DionneCarroll11/status/1220130877231026176
2020-01-22 23:47:18,lmaoilir,AnMailleach,0,0,"@MaryLouMcDonald needs to do a DL if she is ever to get into gov!! Worked for Democratic Left, while Workers Party never went anywhere. #SinnFein",@MaryLouMcDonald,#SinnFein,https://twitter.com/lmaoilir/status/1220130850408423425
2020-01-22 23:47:14,marion_russell,,0,0,Ivan Yates again! He cut across Gavan Reilly and went to someone who would have something negative to say about Sinn Fein before going to a break God forbid a point about Sinn Fein be left on a positive note no no sure you'd have to nip that in the bud 🙄 #TonightVMTV,,#TonightVMTV,https://twitter.com/marion_russell/status/1220130834599989248
2020-01-22 23:46:42,shervie1916,simoncoveney,0,0,If you can speak to Sinn Fein in the North why cant you in the South? Asking for a friend,,,https://twitter.com/shervie1916/status/1220130701208686592
2020-01-22 23:46:28,BlinkSoneOrbit,,0,0,"And proper mental health services for all including travellers as 50% of them die before their 39th birthday and some 70% fail to live past the age of 59, with the suicide rate amongst male travellers being 6 times higher than the general population. Please vote Sinn féin #GE20",,#GE20,https://twitter.com/BlinkSoneOrbit/status/1220130641490194438
2020-01-22 23:45:58,HYUFD1,kevinoh31934147,1,0,"He signed a Deal with the British guaranteeing Northern Ireland would stay British, like Leo Varadkar and unlike Sinn Fein fanatics he did not want further confrontation with Ulster Unionists given most of Ireland was now becoming independent",,,https://twitter.com/HYUFD1/status/1220130516722159616
2020-01-22 23:45:46,Rama1978,molloy1916,0,0,"FF and FG are no different to the Tories in Engerland. They also have the backing of the media in Ireland who are demonising Sinn Fein at any opportunity and even excluding them from debates, much as the British media did with Jeremy Corbyn.",,,https://twitter.com/Rama1978/status/1220130467065876480
2020-01-22 23:44:55,noelm300,boldfenian,0,0,"Exactly, sinn féin are part of the discussion but had no rep to reply",,,https://twitter.com/noelm300/status/1220130251835133952
2020-01-22 23:44:44,dk_man09,,0,0,"Can any journo in Ireland speak about Sinn Féin without mentioning the Troubles, ignoring them as a serious alternative party to the current government #TonightVMTV #GE20 #SinnFein #FineGael #fiannafail",,#TonightVMTV #GE20 #SinnFein #FineGael #fiannafail,https://twitter.com/dk_man09/status/1220130204896677889
2020-01-22 23:43:37,joebloe_23,Stephen_Chaney,0,0,"Because the other parties view it as a northern party, and they are scared of them.",,,https://twitter.com/joebloe_23/status/1220129922364080128
2020-01-22 23:43:01,boldfenian,,1,0,#TonightVMTV So it's ok now to prattle on about Sinn Fein but exclude Mary Lou from the Leaders Debate? #hypocrites,,#TonightVMTV #hypocrites,https://twitter.com/boldfenian/status/1220129773499899904
2020-01-22 23:42:44,DanielGm2008,,0,0,I can't not wait till there is an untied Ireland where we all can live in peace and away from this British ruling my country I no the sons and daughters off Ireland are going to come out and stand together by voting in SINN FEIN,,,https://twitter.com/DanielGm2008/status/1220129702670671873
