date,username,to,replies,retweets,text,mentions,hashtags,permalink
2020-01-19 23:57:48,HamillOSF,RosePatrice6,1,8,"Never concede that this is a two horse race. The establishment have worked very hard to convince you that is the case. Despite their best efforts, we are breaking through. Vótáil Sinn Féin on February 8th, for the people. #GE2020 #ArSonNanDaoine",,#GE2020 #ArSonNanDaoine,https://twitter.com/HamillOSF/status/1219046330456256512
2020-01-19 23:56:07,goldenhart1234,Kenblue93666735,1,0,What in the south it's the party with the most votes goes in the government by themselves and one day that will be sinn Fein the Republic of Ireland can say that will never happen they say the same in the North it's not if it's when sinn Fein will be in government pretty soon 👊,,,https://twitter.com/goldenhart1234/status/1219045906168852482
2020-01-19 23:55:16,CMP14837624,CaseyPeterJ,2,1,"Too late to run now. But there is a market for a new political party in Ireland ... Labour is tired, Sinn Fein not trusted, FG/FF two cheeks of the same backside...a new PD's but plain speaking...tough on Immigration Crime &amp; Health",,,https://twitter.com/CMP14837624/status/1219045694322958336
2020-01-19 23:53:00,goldenhart1234,Kenblue93666735,0,0,Fianna Gael and fianna fall talk through their ass if the Irish people vote sinn Fein into government and one day they will and they end up with the most votes then there's nothing that's fine Gael fianna fall can do just the way they have been voted into the government belfast,,,https://twitter.com/goldenhart1234/status/1219045123528499201
2020-01-19 23:52:51,TrumanKelly,TinaMurnotbot,1,0,Taking that advice resulted in Joan Burton getting in by the skin of her teeth on transfers. Sinn Fein's narrowly candidate lost out.,,,https://twitter.com/TrumanKelly/status/1219045082978050048
2020-01-19 23:50:42,goldenhart1234,Kenblue93666735,0,0,Sinn Fein or voted into Stormont by a large majority of nationalist people hundreds of thousands of them if the dup do want to be in government they don't have to be unionists are a minority now in the North there is other Unionist representation,,,https://twitter.com/goldenhart1234/status/1219044542424473600
2020-01-19 23:50:23,NaturallyOrla,,0,1,Our Labour party (not like the UK one) is centrist and took a beating for coalition with FG The Green Party Sinn Féin (socialist republicans) Social Democrats (centre-left) Solidarity (socialist) People Before Profit (socialist) and some independents and fringe groups,,,https://twitter.com/NaturallyOrla/status/1219044463177338881
2020-01-19 23:50:17,AlaraStarShine,DrAnneDerry,0,0,"How is this real life? #GE2020 #Ireland #SinnFein are trash, #VoteNationalParty",,#GE2020 #Ireland #SinnFein #VoteNationalParty,https://twitter.com/AlaraStarShine/status/1219044438070173696
2020-01-19 23:48:28,WilliamJBarrett,CrowNestJohn,1,0,You can't take your seat in the Commons without taking an oath of allegiance to the crown. Do you believe all Labour MPs should follow Sinn Fein in refusing to take their seats?,,,https://twitter.com/WilliamJBarrett/status/1219043979825766402
2020-01-19 23:45:25,johnbradysf,,19,121,Fianna Fáil are now saying they want to do something about Pensions now that it has become an election issue🤣 Sinn Fein are the only party to bring forward legislation to abolish mandatory retirement &amp; to stop the pension age hike to 67 #GE2020,,#GE2020,https://twitter.com/johnbradysf/status/1219043215225032704
2020-01-19 23:45:14,RonanLillis,,0,0,After playing Democracy 3 for about 7 hours I am about as qualified as anyone who runs for Sinn Fein.,,,https://twitter.com/RonanLillis/status/1219043168538300419
2020-01-19 23:37:00,constanceshortc,markohalloran,0,0,I wish Pearse ODoherty was running Sinn Féin,,,https://twitter.com/constanceshortc/status/1219041097403506688
2020-01-19 23:32:24,SuperAbsorbed,PearseDoherty,0,0,Sinn Féin will end the insurance trip off. Vote #1 Sinn Féin on February 8th. #GE2020 #GeneralElection2020 #dail2020,,#GE2020 #GeneralElection2020 #dail2020,https://twitter.com/SuperAbsorbed/status/1219039936474746880
2020-01-19 23:20:54,leehamill12,sgelliott,0,3,Sinn Féin will introduce a rent freeze. Fianna Fáil only supported it when it was politically expedient for them. Sinn Féin is the only party on the side of the people #GE2020,,#GE2020,https://twitter.com/leehamill12/status/1219037044875431938
2020-01-19 23:19:30,ChrisClarkprjct,sinnfeinireland,0,0,"I'm not a fan of Sinn Fein. Nor am I a fan of FG or FF. However, excluding any leader / party from the table is outrageous. Don't we live in a democracy ?",,,https://twitter.com/ChrisClarkprjct/status/1219036692662947842
2020-01-19 23:16:47,TheFlyingColum1,TheFlyingColum1,0,0,"What SF did was 100% unscrupulous and hypocritical, but these 3 volunteers had little to due with drugs and everything to do with being abandoned by the spineless Sinn Fein leadership in a classic instance of realpolitik (2)",,,https://twitter.com/TheFlyingColum1/status/1219036007464488961
2020-01-19 23:15:48,christineomg5,,0,0,Just did a quiz and wow these results are so accurate 😍 #GE2020 #sinnfein #election #ireland #quiz #PBP #socdem #green #parties,,#GE2020 #sinnfein #election #ireland #quiz #PBP #socdem #green #parties,https://twitter.com/christineomg5/status/1219035760604655617
2020-01-19 23:15:36,garrettdonnelly,garrettdonnelly,0,0,"You could end up with a Fianna Fail, Sinn Féin coalition government and then you'll be crying to have Leo back. 🙄",,,https://twitter.com/garrettdonnelly/status/1219035709325090816
2020-01-19 23:15:18,boomtsss,MaryLouMcDonald,1,0,Mary Lou McDonald you should be Taoiseach 👍 Sinn Fein the only ones with the people of Ireland in mind #VoteSinnFein fuck the rest,,#VoteSinnFein,https://twitter.com/boomtsss/status/1219035632393236481
2020-01-19 23:13:00,goldenhart1234,Dailigh,1,0,Vote sinn Fein we have give fianna Gael and fianna fall a chance and they have fuck it up big time so vote Mary Lou McDonald and you will get a party who will represent and be fair to the Irish people they don't stand for the rich they stand for the average person unlike Leo,,,https://twitter.com/goldenhart1234/status/1219035055814782980
2020-01-19 23:11:44,PearseDoherty,,31,148,This is only one of our actions to end the insurance Rip-Off. Sinn Fein pledge to slash insurance prices by removing 5 per cent premium tax if they enter govt ,,,https://twitter.com/PearseDoherty/status/1219034738486382594
2020-01-19 23:10:48,Joeboycermd,TheLiberal_ie,0,0,"The closer we get to the election the more it seems we can't trust FF or FG, time we trusted Sinn Fein to back up what they're saying, if they don't a vote will be forced again in no time but Pearse Doherty is one of the best in the country and will do a lot as he's genuine",,,https://twitter.com/Joeboycermd/status/1219034501084602371
2020-01-19 23:08:35,carlagreen2000,Fionn_Una,0,0,"Yes, I am talking about that party. But it is spelt SINN FÉIN",,,https://twitter.com/carlagreen2000/status/1219033945460834306
2020-01-19 23:08:16,RobinCafolla,Tristin_1916,1,0,Do you have a link to Sinn Fein's climate policy?,,,https://twitter.com/RobinCafolla/status/1219033864405843968
2020-01-19 23:06:15,GawainKeates,MrsBurgin,0,0,"I agree - Jeremy, I don't think was that clear about this. The way he engaged with certain groups could have led to the impression he supported them, not only their aims but their methods. Hezbollah, IRA/Sinn Fein and the like.",,,https://twitter.com/GawainKeates/status/1219033359017488385
2020-01-19 23:05:12,JonTron84607264,AllPassingThing,0,1,Sinn Fein's Caitlin McCotter calling people racist for opposing uncontrolled mass immigration or even questioning it ,,,https://twitter.com/JonTron84607264/status/1219033091362246664
2020-01-19 23:03:40,dinnycasey,,0,0,If the latest opinion poll shows FG on 20% and SF on 19% how can RTÉ justify restricting a leaders debate to FF/FG and excluding Sinn Féin?,,,https://twitter.com/dinnycasey/status/1219032706518077441
2020-01-19 22:58:43,AineNicOisin,,0,0,RTÉ will not include Sinn Féin in second TV debate despite legal threat...#GE2020 #Boycott it is then https://www.irishtimes.com/news/politics/rt%C3%A9-will-not-include-sinn-f%C3%A9in-in-second-tv-debate-despite-legal-threat-1.4144602#.XiTezl2tdzU.twitter via @IrishTimes,@IrishTimes,#GE2020 #Boycott,https://twitter.com/AineNicOisin/status/1219031459454910465
2020-01-19 22:56:59,JonTron84607264,,1,0,Sinn Fein's Caitlin McCotter calling people racist for opposing uncontrolled mass immigration or even questioning it ,,,https://twitter.com/JonTron84607264/status/1219031023566061569
2020-01-19 22:54:17,Leexx101,,0,0,Sinn Féin is the only party that believes that @65 years of age a person is entitled to their state pension Leo Varadkar thinks retirement at 65 is early retirement &amp; his coalition partner Micheal Martin agrees (though he hasn't said so out loud Time for a change &amp;vote Sinn Féin,@65,,https://twitter.com/Leexx101/status/1219030345078706178
2020-01-19 22:47:23,Tristin_1916,,3,5,"Do you want an end to the insurance RIP-OFF? A UNIVERSAL healthcare system? The biggest social, affordable house-building scheme the state has EVER seen? A GREEN NEW DEAL, which doesn't punish ordinary people? Vote SINN FÉIN on Feb 8th for REAL CHANGE. EVERY VOTE COUNTS!",,,https://twitter.com/Tristin_1916/status/1219028607852519426
2020-01-19 22:39:51,0nIyThursday,,3,8,Provisional Sinn Fein really are a lovely bunch ,,,https://twitter.com/0nIyThursday/status/1219026713411309568
2020-01-19 22:38:44,maidenville,sinnfeinireland,0,0,"I'm voting sinn fein and only sinn Fein, nobody getting my second or 3rd choice even, just sinn Fein. Time for change. Irish people are too stupid to embrace change and that's why Fine fail and fine Gael keep getting in, Irish stupidity.",,,https://twitter.com/maidenville/status/1219026431818313734
2020-01-19 22:38:21,hermannkelly,altforire,0,1,Looks pretty accurate to me. With a comedic touch for Sinn Fein European Unionist Party for sure. Go raibh maith agatsa.,,,https://twitter.com/hermannkelly/status/1219026333931655168
2020-01-19 22:36:27,maidenville,,0,0,@rte we have a representational democracy here in Ireland and you are only including Fine fail and Fine Gael in the final leaders debate? I want my licence fee back!!! We are not America where we only have 2 parties. Shame on you. Change is coming @sinnfeinireland #rte #SinnFein,@rte @sinnfeinireland,#rte #SinnFein,https://twitter.com/maidenville/status/1219025857165103104
2020-01-19 22:36:06,Resistdwp,HillsHaveEyes02,2,0,everything he has ever done was to resolve conflict resolution. everyone demonises him for talking to sinn fein but if he hadn't the Cease fire would not have held and the GFA would never have happened. the Truth is the W***ers have treated a good man badly.,,,https://twitter.com/Resistdwp/status/1219025769378336773
2020-01-19 22:35:04,Katikat50,,0,0,"They've both failed miserably. Change is needed as they just lie through their teeth. Give Sinn Fein a chance, at least their reps are coherent. https://www.con-telegraph.ie/news/roundup/articles/2020/01/19/4184626-mayo-td-says-election-is-/",,,https://twitter.com/Katikat50/status/1219025508786151431
2020-01-19 22:34:42,MyBaldyHead,An_Phoblacht,1,0,Sinn Fein looking for the anti Semite vote now! There was another facist party who tried that once,,,https://twitter.com/MyBaldyHead/status/1219025415165091845
2020-01-19 22:30:25,Ballymagash_T,,1,1,How many left wing parties do we have in Ireland? I'm only counting parties that have elected reps. 1. Sinn Fein 2. Labour 3. Solidarity/PBP 4. Greens 5. Social Democrats 6. W.A.U.A 7. Workers Party 8. Republican Sinn Fein 9. Aontu 10. Paul Murphys new party Vs FF or FG,,,https://twitter.com/Ballymagash_T/status/1219024340940939270
2020-01-19 22:29:38,tvcritics,,1,0,Despite anyones views on Sinn Féin @davidcullinane needs to be re-elected too IMO. Anyone know any other decent candidates in Waterford? #GE2020,@davidcullinane,#GE2020,https://twitter.com/tvcritics/status/1219024140558053376
2020-01-19 22:25:47,Church_Militant,,2,40,"Thanks to a faithful priest, Sinn Fein's pro-abortion Deputy First Minister Michelle O'Neill won't be given a platform at a Catholic parish. https://www.churchmilitant.com/news/article/priest-bans-pro-abort-political-party-from-meeting-in-church-hall",,,https://twitter.com/Church_Militant/status/1219023172894326787
2020-01-19 22:23:08,HealingHeart152,sinnfeinireland,0,0,I belive it is paramount in the name of democracy that sinn féin must be included in this debate and there should also be a PRO LIFE representative included in this debate. #EqualityMATTERS #DemocracyMATTERS,,#EqualityMATTERS #DemocracyMATTERS,https://twitter.com/HealingHeart152/status/1219022504783679494
2020-01-19 22:21:20,CorkSinnFein,,2,24,Four of the best Candidates going forward for Cork Sinn Féin in the General Election #votesinnféin1 #GE2020,,#votesinnf #GE2020,https://twitter.com/CorkSinnFein/status/1219022052465815552
2020-01-19 22:18:46,MCifm,dmc_fadden,0,0,Imagine NOT voting for sinn fein ,,,https://twitter.com/MCifm/status/1219021407335735296
2020-01-19 22:14:24,cronny86,KhaiElJones,1,0,"Too late. Labour already stated they won't govern with sinn fein. They always let the mask slip. One of the main votes the left could have won last year, regarding low pay, and they skipped it. And we lost because Labour didn't show up. They are no lefties.",,,https://twitter.com/cronny86/status/1219020307496931329
2020-01-19 22:13:08,SherdyMe,fintancox,0,0,"Whatever the problem - blame Sinn Fein, especially before an election!",,,https://twitter.com/SherdyMe/status/1219019988973080577
2020-01-19 22:06:49,Tomhg,Tomhg,0,0,@GreenPartyNI @SDLPlive @SinnFein @allianceparty @pb4p Will one political party in N.Ireland defend Vegans right to have an opinion or are the UFU running this place? #AnimalRights,@GreenPartyNI @SDLPlive @sinnfein @allianceparty @pb4p,#AnimalRights,https://twitter.com/Tomhg/status/1219018400007184385
2020-01-19 22:06:37,OisinOD,,0,0,The polls are in. Sinn Féin are the ridiest rides that ever rode. No surprise. https://twitter.com/irishelecrides?s=09,,,https://twitter.com/OisinOD/status/1219018351676207104
2020-01-19 22:02:27,ShivSummer,RedicanSarah,1,0,Sinn Fein lovely !! I watched the highlights from that girl too and were great x,,,https://twitter.com/ShivSummer/status/1219017300126375936
2020-01-19 21:54:05,KeriAmy,,0,1,Heard all the sexy people are voting Sinn Fein js js,,,https://twitter.com/KeriAmy/status/1219015193608577024
2020-01-19 21:52:45,SamsungTrish,PearseDoherty,1,0,Sinn Fein have some good politicians but voting Sinn Fein is just a step too far for many people.,,,https://twitter.com/SamsungTrish/status/1219014859435716613
2020-01-19 21:52:08,LewdPolitics,LewdPolitics,0,0,It all stems from the pro- vs anti-treaty Sinn Féin,,,https://twitter.com/LewdPolitics/status/1219014704120651777
2020-01-19 21:51:14,rwq1987,FargoConclusion,1,0,Nah it's a brilliant argument. Sinn Fein should be standing everywhere too... and the DUP... Labour don't stand in NI so they aren't ever a totally representative party... there's only one true government and that's the glorious unionists...,,,https://twitter.com/rwq1987/status/1219014479146516481
2020-01-19 21:50:58,kevinpbreslin,RuthDE,0,0,"Oh Ruth, you have never cost Sinn Féin a single vote in the North.",,,https://twitter.com/kevinpbreslin/status/1219014413056954369
2020-01-19 21:50:41,zoejohnston96,,0,0,Literally feel like I only left work 10 mins ago honestly how is the weekend over already FFS vote sinn fein,,,https://twitter.com/zoejohnston96/status/1219014339648217088
2020-01-19 21:49:06,LewdPolitics,MarxistDem,1,0,Probably because they spawned out of different factions of the original Sinn Féin . Fine Gael claims the legacy of Michael Collins while Fianna Fail (sort of) claims the legacy of Éamon de Valera,,,https://twitter.com/LewdPolitics/status/1219013940480544768
2020-01-19 21:48:48,JonTron84607264,AllPassingThing,0,2,Sinn Féin will fly every other flag but the Irish tricolour ,,,https://twitter.com/JonTron84607264/status/1219013864672677898
2020-01-19 21:47:36,JonTron84607264,,0,0,Sinn Féin will fly every other flag but the Irish tricolour ,,,https://twitter.com/JonTron84607264/status/1219013565270700033
2020-01-19 21:47:13,DeclanFarrell3,fionan85,1,0,"Lad, you're sinn féin and jims a blue shirt, I'll always be caught in the middle #anyonebutfinegael",,#anyonebutfinegael,https://twitter.com/DeclanFarrell3/status/1219013469376335874
2020-01-19 21:45:45,MickMowgly,MrsRoyKeane0,0,0,Because sinn féin got rolled over,,,https://twitter.com/MickMowgly/status/1219013096867614720
2020-01-19 21:45:37,IrishTimes,,25,7,Chris Johns: Sinn Féin’s absurd promise to lower the retirement age is an explicit grab at a populist lever ,,,https://twitter.com/IrishTimes/status/1219013065632600064
2020-01-19 21:45:12,LironNoneOfUrB,sapphrdavis,3,0,"🇨🇦 NDP 🇬🇧 Lib Dems 🇮🇪 Sinn Féin 🇩🇪 SDP 🇭🇰 🇺🇸 Democratic Party 🇹🇼 DPP 🇦🇺 🇳🇿 Labour 🇿🇦 DA 🇮🇱 🤷🏽‍♀️🤷🏽‍♀️ B/W, Left sing coalition, or joint list 🇨🇳 complete collapse of the ruling regime ",,,https://twitter.com/LironNoneOfUrB/status/1219012958346514434
2020-01-19 21:40:19,SylvesterDemps3,garvangrant,1,0,How will Micháel explain going in coalition with Sinn Fein The usual explanation (In the interest of the nation of course) ,,,https://twitter.com/SylvesterDemps3/status/1219011730635984896
2020-01-19 21:39:08,fintancox,paul_gavan,0,0,In my time watching politics the sinn fein proposal to keep the retirement age at 65 which is good for both pensioners and younger workers looking to get a start is your policy I have ever agreed with ,,,https://twitter.com/fintancox/status/1219011433700233216
2020-01-19 21:38:03,SuperAbsorbed,Independent_ie,0,0,Fianna Fail @fiannafailparty are the joke. Vote Sinn Féin on February 8th. ,@fiannafailparty,,https://twitter.com/SuperAbsorbed/status/1219011162597216261
2020-01-19 21:36:44,ThomNolan,Michael_O_Regan,1,0,Surely you can not deny there is a massive anti-Sinn Féin bias in the media?,,,https://twitter.com/ThomNolan/status/1219010830752194561
2020-01-19 21:33:11,rleavy8,NeeNawtogirls,2,0,"Yep but in your opinion do you think Fianna Fáil are better or worse considering the way they destroyed the whole nation ? Would that not be classed as worse ? Also according to Fine Gael , Sinn Fein are ok to govern in ni but not good enough for the south ..",,,https://twitter.com/rleavy8/status/1219009937361326080
2020-01-19 21:29:03,GMBanks,_ValOD2020,1,0,A rainbow is probably what is needed provided Sinn Fein isn't part of it.,,,https://twitter.com/GMBanks/status/1219008896565682176
2020-01-19 21:27:59,PatriciaMAC10,thejournal_ie,0,1,"Only Gameplan is to #Fake thats there is any opposition, day before RTE will allow Sinn fein on, trick complete public fooled again. Real question is @NationalPartyIE is entitled to be on @rtenews",@NationalPartyIE @rtenews,#Fake,https://twitter.com/PatriciaMAC10/status/1219008627824119808
2020-01-19 21:24:36,Garymc1967,,2,28,"Due to the failure of DFI to grit the Scroggy Road,Glenavy, local SinnFéin Glenavy activists and myself took matters into our own hands tonight and gritted the road. With temperatures due to drop again tonight folks please drive carefully ❄️🥶 @southantrimsf @DeclanKearneySF",@southantrimsf @DeclanKearneySF,,https://twitter.com/Garymc1967/status/1219007775545733121
2020-01-19 21:23:32,PatriciaMAC10,roisinnicloch,0,0,"#Fakenews When you have senior Fianna Fail members saying they will go into government with Sinn Fein, there is no true opposition. #Graveytrain #politics #RTE debate.",,#Fakenews #Graveytrain #politics #RTE,https://twitter.com/PatriciaMAC10/status/1219007508905431041
2020-01-19 21:22:37,rleavy8,NeeNawtogirls,2,0,"Yep but it’s always thrown at Sinn Fein that they don’t have the maths done for their promises , nothing on the fantasies the other scum say they will do for us , we cannot as a nation keep going from one corrupt organization to the other and back again .",,,https://twitter.com/rleavy8/status/1219007276306063361
