date,username,to,replies,retweets,text,mentions,hashtags,permalink
2020-02-07 23:58:48,writeart2016,,0,1,"We are on the cusp of an historic change in the Irish political landscape and a chance to hopefully see a brighter future. Please, please do not let the weather stop you from voting. Get out and use your voice and #VoteLeft #SinnFein and transfer #peoplebeforeprofit etc.",,#VoteLeft #SinnFein #peoplebeforeprofit,https://twitter.com/writeart2016/status/1225931950290018304
2020-02-07 23:56:56,walshe14,,0,0,Let’s keep it left side tomorrow. Vote Sinn Fein and POP tomorrow💚 Change is needed.,,,https://twitter.com/walshe14/status/1225931481484316673
2020-02-07 23:56:25,Micheal_Lagain,SeanSearle1,0,0,They're not so much canvassing FOR those parties but canvassing AGAINST Sinn Féin. So in all honesty you could say the SDLP are canvassing for some of the worst con-men in Ireland and against real genuine change.,,,https://twitter.com/Micheal_Lagain/status/1225931350248771585
2020-02-07 23:55:50,Mazzaleeds,sazzybm,1,0,I have who is she standing for? Sinn Féin wouldn’t have the likes of her she’s ridiculous....trump supporting hussy.,,,https://twitter.com/Mazzaleeds/status/1225931203972341760
2020-02-07 23:55:28,fhenriques,,4,0,Here is my full Irish vocabulary: 🍀 Taoiseach 🍀 Tanaiste 🍀 Dail 🍀 Fine Gael 🍀 Fianna Fail 🍀 Sinn Fein 🍀 Eire That's it. That's all.,,,https://twitter.com/fhenriques/status/1225931110422544385
2020-02-07 23:55:06,NornEye,typeofdrink,1,0,"She has thanked him twice this week and confirmed she does not feel used by the media. The Quinn’s have been eager to keep their criticism of Sinn Fein in the public eye. What a better week to give their case even more prominence, and they got a partial result.",,,https://twitter.com/NornEye/status/1225931019309764610
2020-02-07 23:54:31,gearoidyo,GrainneFerris,1,0,Ask yourself why that is. What are you voting for? More immigration and LGBT? Nothing will change if Sinn Fein get elected. NOTHING.,,,https://twitter.com/gearoidyo/status/1225930872874029062
2020-02-07 23:54:21,novice_twit,AllPassingThing,2,0,Absolutely crazy how much sinn fein has changed. Even Mary Lou's face looks different or is it just me?🤔,,,https://twitter.com/novice_twit/status/1225930830163447808
2020-02-07 23:53:39,nicobel42535398,moh_kohn,1,0,Heard Sinn Fein are most popular party for under fifties and have pledged to lower pension age but aren't standing enough candidates meaning FF and FG will form a coalition. Is that true,,,https://twitter.com/nicobel42535398/status/1225930653134475271
2020-02-07 23:53:37,parkadge,LeoVaradkar,0,0,Sinn Féin didn't wreck Ireland,,,https://twitter.com/parkadge/status/1225930647463714816
