date,username,to,replies,retweets,text,mentions,hashtags,permalink
2020-01-13 23:59:09,Q88Suzi,Janwebb52875202,1,1,"I would also love for our decision makers to understand that being in care means being care experienced for life! Support should not cease on a YP's 18th, 21st or 23rd birthday What parent at those ages basically says ""well that's that now, been great knowing you, best of luck""",,,https://twitter.com/Q88Suzi/status/1216872344574099460
2020-01-13 23:57:41,AlexeiRomanov13,AlexeiRomanov13,2,0,ruler says in order of closeness to Rockall 1) Hebrides (Scotland) 2) Donegal (Ireland) 3) Iceland (formerly Denmark),,,https://twitter.com/AlexeiRomanov13/status/1216871974019969025
2020-01-13 23:56:10,BernardLonergan,LeoVaradkar,0,0,The biscuits look grim tbh,,,https://twitter.com/BernardLonergan/status/1216871590337617920
2020-01-13 23:52:18,Vedela,SimonHarrisTD,0,0,"Can you please sanction medical cards for terminally ill patients .They can remain at home longer being cared for by family if the financial burden is lifted . Palliative care ,at home , is prohibitive without medical card assistance .Good news on the extra hospice openings .",,,https://twitter.com/Vedela/status/1216870619259854848
2020-01-13 23:52:04,crankygerry,LeoVaradkar,0,0,"Two dysfunctional parties running a dysfunctional area. Two parties who hate the FOI Act and in the last Administration, rarely kept minutes of meetings! Hope things improve but do leopards change their spots?",,,https://twitter.com/crankygerry/status/1216870559482613760
2020-01-13 23:50:25,NornEye,KinleyDesmond,0,0,"You forgot NOx tax, putting small car importers out of business to protect big importers, also increases car cost for less well of. Your list plus NOx is a good reason why people in NI should not choose UI. But yes Martin sent email to get permission from IRA who have NIGov input",,,https://twitter.com/NornEye/status/1216870142908469248
2020-01-13 23:47:25,martycbelfast,LeoVaradkar,0,0,The real truth of the matter is with no money no executive no health services running effectively schools closing don't try and wipe our eye Leo more strikes on the way so our nurses and health care workers can have pay parity as they deserve you sir are a let down,,,https://twitter.com/martycbelfast/status/1216869388810358785
2020-01-13 23:46:41,galwaysfuture,LeoVaradkar,1,0,Pics taken using a Nokia 😅,,,https://twitter.com/galwaysfuture/status/1216869204256854017
2020-01-13 23:45:13,AlexeiRomanov13,Dave25720402,1,0,it's closest to Donegal isn't it am just consulting my map will have to get my ruler out 😨,,,https://twitter.com/AlexeiRomanov13/status/1216868836802285571
2020-01-13 23:42:04,Dave25720402,AlexeiRomanov13,1,0,Nah it's Scotland,,,https://twitter.com/Dave25720402/status/1216868041730023425
