date,username,to,replies,retweets,text,mentions,hashtags,permalink
2020-01-30 23:57:25,emmetmclaughlin,JamesKavanagh_,0,0,"The way politics works in Fianna Fáil, he'll be running in a few years without a doubt.",,,https://twitter.com/emmetmclaughlin/status/1223032500370444288
2020-01-30 23:50:36,TarbhEireann,rtenews,1,0,"Was it not Fianna Fáil who started the 'Irish Cold War' with the north and labelled them as an illegitimate state? Was it not FF politicians who gave money to the IRA in The Troubles? I'm not judging what I just mentioned, I'm merely pointing out Martin's bullshit.",,,https://twitter.com/TarbhEireann/status/1223030784040296449
2020-01-30 23:46:25,JustinPhelan18,fiannafailparty,2,4,"Well that's not true,3 bedroom semi detached can be built for around 130K..if you take out the private developer and the brown envelopes it costs a lot less than what Fianna Fail would be used to..Rattled..",,,https://twitter.com/JustinPhelan18/status/1223029731010011136
2020-01-30 23:45:09,DrJohnDuddy,Antcon7062,1,0,This is actually a good idea. Never thought I'd say that about a Fianna Fáil proposal!,,,https://twitter.com/DrJohnDuddy/status/1223029411584389122
2020-01-30 23:45:00,DeRebCelts,,1,1,"If it’s put to a Fianna Fáil Ard Fheis about whether or not to go into coalition with Sinn Féin, then Mehole might have to step down and miss out on being Taoiseach after all 😂😂😂",,,https://twitter.com/DeRebCelts/status/1223029373852319745
2020-01-30 23:42:32,PadZer_eire,fiannafailparty,0,0,Fianna Fail....the party of the wealthy and entitled. Wankers. ,,,https://twitter.com/PadZer_eire/status/1223028755431673857
2020-01-30 23:41:41,PatMcCabe6,,0,1,The reality is people will vote for who is giving them the best deal although some will vote party politics. Either we are looking at a coalition government going forward. More than likely lead by either Fine Gael or Fianna Fáil.,,,https://twitter.com/PatMcCabe6/status/1223028541845049345
2020-01-30 23:40:26,youknowyourwans,fiannafailparty,0,1,Fianna fail are experts on numbers that don't add up,,,https://twitter.com/youknowyourwans/status/1223028225653334017
2020-01-30 23:37:41,TrumanKelly,sinnfeinireland,0,7,"Look at Varadkar's face like thunder. They're rattled. Vote out the 2 parties that have operated a political cartel for almost 100 years. If you want real change, don't vote Fine Gael or Fianna Fail.",,,https://twitter.com/TrumanKelly/status/1223027534075453441
2020-01-30 23:37:32,machamongruadh,,1,0,howling at fianna fáil openly criticising fine gael about the housing crisis in their advertising videos when they’re pretty much the same party like the sheer audacity out of them,,,https://twitter.com/machamongruadh/status/1223027494456041475
2020-01-30 23:36:14,aburnsmoves,,0,0,Conclusion Fianna Fáil will pay for your problem but that won’t stop it happening again and it may all end in tears one day when that check bounces #GeneralElection2020 #GE2020 #vmtvbigdebate #LookForward,,#GeneralElection2020 #GE2020 #vmtvbigdebate #LookForward,https://twitter.com/aburnsmoves/status/1223027171066810369
2020-01-30 23:34:14,caoimhin_og,ThomasByrneTD,0,6,Sorry Thomas but Fianna Fáil does not represent change. My own father has voted FF all his life but isn't this time around. I'm 32 and I have never voted FF.,,,https://twitter.com/caoimhin_og/status/1223026664520781825
2020-01-30 23:33:11,MootIreland,ThomasByrneTD,0,0,Vote for change with Fianna Fáil? 😂 I love this game Fine Gael and Fianna Fáil play where they pretend they’re different to each other during election campaigns and then go back to propping each other up in government ,,,https://twitter.com/MootIreland/status/1223026403182022657
2020-01-30 23:30:18,peterlitre,newschambers,0,0,As a Sinn Fein support i have to agree. I don’t like him and I deplore his ideology but I really feel he’s more trustworthy than Martin. Also I think Fianna Fáil just don’t have talented politicians.,,,https://twitter.com/peterlitre/status/1223025675440918529
2020-01-30 23:27:27,gomurchu,rtenews,0,0,Partitionist Party Leader soundbite not reflective of tonight’s debate. Only message from tonights ham-fisted debate: ABFFoFG Anybody But Fianna Fáil or Fine Gael - that works for me. No early release 4FF after only 12 years without leading a government.,,,https://twitter.com/gomurchu/status/1223024960073011201
2020-01-30 23:27:19,AltviewIreland,,0,0,Fine Gael & Fianna Fail are allegedly in talks to make Wuhan in China a 'sister city' of Dublin in a bid to show solidarity during these testing times &amp; of course overcoming racism #coronarvirus,,#coronarvirus,https://twitter.com/AltviewIreland/status/1223024923146358785
2020-01-30 23:24:37,seanros,,1,0,Some commentators pronounce Fianna Fáil as Fine Fáil. Now I know there’s no real difference between the parties but it still grates every time. #TonightVMTV,,#TonightVMTV,https://twitter.com/seanros/status/1223024247473307648
2020-01-30 23:23:12,PodMusiccast,,0,1,"Fianna Fáil and Sinn Féin have significantly increased their spend on Facebook adverts in the past week, ahead of general election. #GeneralElection2020 Micheál Martin called Fine Gael as “pathetic” for getting up early to get their photographs taken at Dublin Port tomorrow.",,#GeneralElection2020,https://twitter.com/PodMusiccast/status/1223023890601037824
2020-01-30 23:23:07,simon_naughton,EwanMacKenna,2,0,"Again, don’t think you were hear. (3rd time), Ireland was on it’s knees. The way this election will go doesn’t mean it’s the best thing for the country. Unfortunately, as a country we thrive in struggle but default in success. Here we go again, Fianna Fáil. Hello 🇨🇦",,,https://twitter.com/simon_naughton/status/1223023868346060806
2020-01-30 23:21:28,eunanharkin95,rtenews,0,1,At the same time Fianna Fáil watched Irish people suffer... 14 Irish Citizens were shot dead 48 years ago today whilst a FF Taoiseach Jack Lynch stood idly by. Again in 1981 a FF Taoiseach Charlie Haughey let 10 Irish men die on Hungerstrike. Shame on Fianna Fáil! #GE2020,,#GE2020,https://twitter.com/eunanharkin95/status/1223023454213025792
2020-01-30 23:21:00,mrdavidflane,,4,0,"Though nothing can ever be ruled out, it is difficult to see how Micheal Martin can lead #FiannaFail into coalition with #SinnFein. #vmtvdebate #GE2020",,#FiannaFail #SinnFein #vmtvdebate #GE2020,https://twitter.com/mrdavidflane/status/1223023333651906560
2020-01-30 23:20:14,GlasgowBhoy,moneillsf,0,0,"Take a bow Mary Lou, a first class display of Fianna Fáil bashing. 👏",,,https://twitter.com/GlasgowBhoy/status/1223023140835557376
2020-01-30 23:19:50,AndrewSB49,,0,5,The two ladies were very good tonight as was Mick Barry. The arrogance of Fianna Fáil &amp; lack of empathy of Varadkar was very evident. Howlin recommends Labour voters give their next preference votes to the Party that cut Social Welfare. #vmtvdebate,,#vmtvdebate,https://twitter.com/AndrewSB49/status/1223023043863367680
